id,listing_id,listing_status,listing_user_id,superhost,price,currency,city,lat,lng,room_type,review_count,bedrooms,bathrooms,min_nights,max_nights,guests,created_at,updated_at,updated_by,amenities,description,weekly_price_factor,monthly_price_factor,cleaning_fee_native,cancellation_policy,info_last_updated,price_for_extra_person_native,listing_title,star_rating,missing_v2_pricing,pricing_line_items,h3_index,is_los,is_ghost,country,state,neighborhood,zipcode,license,guest_favorite,picture_url,luxe,base_guest,host_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605575,24892105,NULL,21784186,FALSE,109,NULL,Charlottesville,38.05349,-78.42488,Entire cottage,37,1,1,1,365,4,2020-03-27 1:25:42,2024-12-24 21:41:00,pricelabs-scraping-01 -- 99589,"[Garden view""",Valley view,Mountain view,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV with standard cable,High chair,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Self check-in,"Lockbox]""","Mindful Mountain is a secluded country guesthouse: 4+ Rms- LR, DR, kit, BR, sleeping loft, 1 Bth, laundry, deck & yard. Wifi, cable TV & HBO, all utilities included. On site parking. Bicycle available. UVA and Martha Jefferson Hospital nearby. Suitable for travel work assignment, medical stay, quiet retreat, family visit, relocation. Extended stay rates. Hosts want your stay to be comfortable and stress-free. Check our reviews! Dates still available. The space Private setting overlooking deer fields, small stream, woods. Additional private yoga class is available for $25. Guest access Rental is for entire guest residence. Self check is included. Host assistance is available. Other things to note CDC disinfect guidelines for all surfaces. Separate guesthouse, edge of C'ville, 6 miles to UVA, 10 minutes to downtown. Minimum one month or longer stays.",0.8,0.6,70,Firm,NULL,15,"C'ville, 1+BR, min 1 mon stay, 6 mi UVA, 4 mi city",4.95,,"{error"": ""Missing price line items""","check_in: ""2025-08-21""","check_out: ""2025-08-26""","CLEANING_FEE: {""total"": 0","currency: ""USD""}}""",882a8c10c1fffff,0,0,United States,Virginia,,22911,,0,https://a0.muscache.com/pictures/d7226329-8270-4c32-9a7b-755f31dc55ed.jpg,0,NULL,Jurriaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605576,29967277,NULL,7355638,TRUE,213,NULL,Charlottesville,38.0538,-78.4358,Entire cottage,164,2,2,1,365,5,2020-03-27 1:25:42,2024-12-24 21:44:37,pricelabs-scraping-01 -- 99589,"[Garden view""",Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV with Roku,Books and reading material,Children’s books and toys,Children’s dinnerware,Outlet covers,Board games,Babysitter recommendations,Central air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stainless steel electric stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Private patio or balcony,Private backyard – Not fully fenced,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Self check-in,"Keypad]""","Lovely cottage beside Stony Brook. Only 2 miles to the city of Charlottesville! You are invited to explore the land and enjoy the brook that runs through it. Guests love the fire pit and large lawn for playing with the kids. The large, covered outdoor entertaining area is for you to use as well! A drop in to the Rivanna river is only a mile away at Darden Towe park for tubing, kayaks and more. The space The cottage overlooks the stream and woods of the property. Each bedroom has it's own bathroom (tub shower) and the kitchen is stocked with all the basics (plus some treats!). The main room is shared with the kitchen and has a large sofa for lounging, smart TV and lots of board games! There are 3 areas to dine. Inside, the kitchen table can accommodate 4-5 people, the porch attached to the kitchen is great for easy kitchen access and the large entertaining area outside is complete with party lights, a gas BBQ, sofa and large table for dining. Below the cottage is my ceramic studio. The studio has a separate entrance which allows us to keep our work private. We strive to give our guests privacy so I bet you won't even see us! We live in the farmhouse on the property (7 acres), so we are available to our guests (if they choose). Guest access We have a huge parking area for guests to use and access to Route 20 is right out the driveway. From there you can zip up and down to wineries and onto UVA grounds in minutes! The cottage and outdoor entertaining area is exclusively for your use while you stay with us. The basement of the cottage is not for guest access. The carport is not for guest parking. Other things to note *Are you staying with children? Let me know their ages and I can be sure to leave some fun toys, games or books out for them. If you are lucky enough to catch us during a good snow we have a great sledding hill (and sleds to borrow). *If you would like the kitchen stocked upon arrival, we can arrange to take delivery from one of the grocery delivery services and put the items in the kitchen* *Have a well behaved dog? Let us know if you need to bring your pooch along and we can work something out* Our cleaning regimen is in accordance with the recommendations from airbnb and we have left additional cleaning supplies for our guests to use. These include hand sanitizer, paper towels and disinfectant.",0.8,0.8,100,Moderate,NULL,100,Cottage in the Country (close to UVA!),4.99,,"{check_in"": ""2025-11-12""","check_out: ""2025-11-17""","CLEANING_FEE: {""total"": 100","currency: ""USD""}","ACCOMMODATION: {""total"": 1070","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 165","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 1335","currency: ""USD""}}""",882a8c10c5fffff,2,0,United States,Virginia,,22911,,1,https://a0.muscache.com/pictures/miso/Hosting-29967277/original/1ba4b920-2f03-4c80-9097-71637abd39c2.jpeg,0,NULL,Samantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605580,29049195,NULL,13541926,TRUE,136,NULL,Charlottesville,38.09268,-78.38121,Entire cottage,629,2,1,1,365,5,2020-03-27 1:25:43,2024-12-31 0:23:30,pricelabs-scraping -- 28784,"[Mountain view""",Valley view,Hair dryer,Cleaning products,All natural shampoo,All natural conditioner,All natural  body soap,Hot water,Shower gel,Free washer – In building,Free dryer – In building,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,"HDTV with standard cable, Roku, Netflix",Exercise equipment: yoga mat,Books and reading material,Board games,AC - split type ductless system,Ceiling fan,Portable fans,Central heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,"Full sized, stainless steel refrigerator",Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Cuisinart  stainless steel induction stove,"Cuisinart fry, bake and toast stainless steel oven",Hot water kettle,"Coffee maker: drip coffee maker, Keurig coffee machine",Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Private patio or balcony,Private backyard – Not fully fenced,Fire pit,Outdoor furniture,Outdoor dining area,"Free parking on premises – 2 spaces]""","An adorable home with breathtaking sunset and Blue Ridge mountain views unlike anywhere in the Charlottesville area. We are 5 miles from downtown and minutes to some of the best vineyards and restaurants in the Piedmont. Enjoy comfortable beds, a fire pit and Adirondack chairs. Walk our country roads, feed the horses, enjoy the views of the mountains. We welcome all people, base price is for 2 people so sorry no pets or children under 10 for safety. The space Tranquil Estate is a very special place where the big sky meets the Blue Ridge mountains. We moved here because Charlottesville is small city that has farm to table values and a countryside which makes you feel like you’re on vacation. The decor is industrial farmhouse and all of the amenities are new; including the beds! We will leave a few necessities in the kitchen like coffee, tea, salt seasonings and olive oil. There is a Keurig and a drip coffee maker with coffee pods. There is a new cuisinart induction cooktop and a new cuisinart fryer, toaster, and baking oven. There are two mini-splits. There is a window AC unit you can control along with ceiling fans and stationary fans. Let us know if you are too warm or cold so we can make you comfortable! We have a huge 10+ acre field with horses and cows over the fence. It is a very peaceful property. There is a large table to work on - perhaps write that novel sitting in the back of your head. The property also is the perfect place to paint en plein air. Bring wood, paper and marshmallows for the fire pit! Sorry, pets are not allowed. Base price covers two people. Guest access You’ll have the cottage to yourself and there are tall evergreens separating the view between houses so it is private. Since it is a small farm you may see me out and about as I take care of the property and animals. We are mindful that you are here to rest and relax and always do our best to accommodate guests needs. The dogs are in and out all day but if you prefer not to see them just say so and we will do our best to keep them inside. Their names are Foster the Basset Hound, and Pippa our young Corgi. Other things to note Horses: Ruby the paint horse is 10 years old. The small black and white pony is named Daisy-Mae. Both are sweethearts and very beautiful unless it is muddy...ugh. Sometimes they are in a paddock up close to the cottage which is really fun for our guests. They are kept in an electric fence but love a visit. They enjoy real food like apples and carrots and hold your hand FLAT when giving them these treats. Fire Pit Stuff: Bring wood and paper for your fire pit and the MARSHMALLOWS!!! If you forget something just ask- we probably have it! First time Airbnb users need to know that being a part of the Airbnb family is super unique. We have traveled the world this way. We welcome new people when we see them enjoying our property. When we travel, our hosts are those who share their restaurants and “must see and do” information not found on line.Meeting new people is what Airbnb is all about- not just staying at a place- you’re staying in a part of a home. We think that’s so cool. We look forward to hosting you at our beautiful estate. Cynthia and Chuck",,0.9,110,Strict,NULL,45,"Tranquil Cottage in C'ville, sleeps 5",4.95,,"{check_in"": ""2025-03-01""","check_out: ""2025-03-08""","CLEANING_FEE: {""total"": 110","currency: ""USD""}","ACCOMMODATION: {""total"": 1100","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 171","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 1381","currency: ""USD""}}""",882a8c12c7fffff,2,0,United States,Virginia,,22911,,0,https://a0.muscache.com/pictures/8864d076-9087-4263-925c-e35ff6fa1140.jpg,0,NULL,Cynthia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605583,39857301,NULL,182221910,TRUE,169,NULL,Charlottesville,38.07013,-78.41704,Barn,523,2,1,1,365,6,2020-03-27 1:25:43,2024-12-31 0:26:18,pricelabs-scraping -- 28784,"[Hair dryer""",Cleaning products,Shampoo,Avalon organics  conditioner,Avalon organics  body soap,Hot water,Shower gel,Free washer – In unit,Free dryer – In unit,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage: closet,HDTV,AC - split type ductless system,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Fast wifi – 80 Mbps,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Private patio or balcony,Shared backyard – Not fully fenced,Outdoor furniture,Free parking on premises,Long term stays allowed,Self check-in,"Lockbox]""","Our place is a newly constructed barn loft in our 1960's barn. Enjoy beautiful views of the surrounding countryside from large windows and a private balcony. The barn is surrounded by our horse pastures and neighboring fields. Self check in with the key lockbox. This loft is separate from the main house where we live. Private parking and entrance for our guests directly outside of barn loft (this is separate from the main house driveway). The space One bedroom with queen bed (semi-private with a half wall). Spiral staircase leads up to a loft with two twin beds, easily adapted to queen if desired. Large open living space with full kitchen. One full bath. Laundry closet with washer/dryer. Guest access The entire loft is yours. The field across the road from us is our neighbor's property, as well as any land outside of the black fence. Our property is surrounded by the black fence.",0.85,0.75,65,Firm,NULL,0,The Loft at Minor Mill - Private loft apartment.,4.98,,"{check_in"": ""2025-02-01""","check_out: ""2025-02-08""","CLEANING_FEE: {""total"": 65","currency: ""USD""}","ACCOMMODATION: {""total"": 1090","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 140","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 1131","currency: ""USD""}}""",882a8c12a7fffff,2,0,United States,Virginia,,22911,,0,https://a0.muscache.com/pictures/miso/Hosting-39857301/original/3ac833de-f320-45c0-9a85-be7c26a8a082.jpeg,0,NULL,Linda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605589,18390564,NULL,1933095,TRUE,141,NULL,Charlottesville,38.11546,-78.39948,Entire guesthouse,271,1,1,1,365,2,2020-03-27 1:25:43,2024-12-31 0:24:19,pricelabs-scraping -- 28784,"[Hair dryer""",Shampoo,Conditioner,Varies  body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,HDTV,Books and reading material,Central air conditioning,Ceiling fan,Central heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker: Keurig coffee machine,Wine glasses,Toaster,Coffee,Private patio or balcony,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill: gas,Free driveway parking on premises,Self check-in,"Lockbox]""","Constructed in 2017 “ Renew” offers a peaceful, clean and simple space furnished with a comfortable modern mix style. It is situated a short distance from the main home and offers just the privacy you are looking for. This property, located outside beautiful Charlottesville Va. is an easy drive to restaurants, shopping, art, culture, wineries, history, parks and the Uva . Flat Screen Smart TV (use your logins to access your favorite sites ) NO pets - out of consideration of future guests The space Couples/single NO INFANTS OR CHILDREN Guest access Lockbox with code. The door handle needs to be pulled up to engage , then locked. Other things to note The door is Pella . To lock the door you pull up on the handle to secure the three way mechanism then turn the key or from the inside the small knob below the handle. Please no extra guests during your stay ~",0.81,0.7,60,Strict,NULL,0,Renew @ Coniferidge.,4.98,,"{check_in"": ""2025-02-17""","check_out: ""2025-02-24""","CLEANING_FEE: {""total"": 60","currency: ""USD""}","ACCOMMODATION: {""total"": 973","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 120","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 968","currency: ""USD""}}""",882a8c1215fffff,0,0,United States,Virginia,,22911,,0,https://a0.muscache.com/pictures/9ed4553b-9ab8-4639-a62b-9c787f8a89a7.jpg,0,NULL,Amy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605594,27888734,NULL,1261240,FALSE,225,NULL,Charlottesville,38.07096,-78.41212,Entire home,23,4,2,1,365,10,2020-03-27 1:25:43,2024-12-26 14:47:07,pricelabs-scraping -- 28235,"[Hair dryer""",Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Indoor fireplace,Heating,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Private entrance,Patio or balcony,Backyard,Free parking on premises,"Pets allowed]""","The house is incredibly comfortable and spacious. Only ten minutes from downtown, yet the wooded 2 acre property has a natural country feel. A beautiful, bubbling creek runs along the entire back yard. Theres a large deck to chill on and also a picnic table, fire pit and sweet labyrinth at the far corner of property. Lots of privacy from neighbors! The kitchen is huge and wonderful for cooking. Lots of counter space. Over all it’s a very special space with a magical atmosphere! The space This beautiful space feels like a luscious yet humble retreat. Comfortable and roomy. Enjoy a short walk around the two acre property. There is a lovely wooded yard that borders a clean, bubbling creek. Relax in chairs and savor the sweet sounds of the water. There is also a small but sacred labyrinth on the left corner of the property. Huge deck to enjoy or practice yoga/tai chi or to get your dance groove on! Guests are welcome to have their meals out on the picnic table. Other things to note It’s possible that I may occasionally stay in a small camper on the property in the evenings. But, I would absolutely respect guests privacy and pretty much keep out of sight.",0.75,,50,Strict,NULL,20,Semi Rural Forest Oasis,4.74,,"{error"": ""Missing price line items: Listing has no availability""}""",882a8c12a1fffff,0,1,United States,Virginia,,22911,,0,https://a0.muscache.com/pictures/c4ef884f-e4e7-4978-9009-814aebf78500.jpg,0,NULL,Megan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605619,13393248,NULL,70838492,FALSE,130,NULL,Charlottesville,38.0813,-78.4958,Farm stay,467,1,1,1,365,2,2020-03-27 1:25:44,2024-12-21 16:44:36,pricelabs-scraping-01 -- 85419,"[Hair dryer""",Cleaning products,Shampoo,Body soap,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV with standard cable,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Free parking on premises,"Pets allowed]""","Roslyn Farm is truly incredible. The Innkeeper Suite is private, charming, and efficient with it's own deck, parking, and screened porch. Enjoy the farm life while still being immersed in all of the amenities of the city. You will not be disappointed. The space While the “Innkeeper Suite is one of our smaller square footage offerings",it is mighty in its charm,beauty,efficiency and proximity to farming operations. From the private parking space,deck,and screened in porch you are just steps away from our garden,horse paddocks,and wash rack (where horses are brought up to be bathed). Situated under huge,specimen beech,ginkgo,magnolia,and sycamore tree,this area stays temperate,charming,and remote. And that's just the outdoors! Built in 1938,"the house had what was known as a ""butler's kitchen"" in which the original kitchen was segmented into two separate rooms. We have enclosed part of that kitchen into this space so that it now functions as a completely separate",private suite of the house that boasts its own kitchen! This space has everything you could need: built in washer/dryer,double oven,stovetop,refrigerator,shower,beautiful bedroom with a great view,closet space,dresser,"etc. Horseback Riding lessons are a possibility upon request. A lesson is $60 per person and lasts around 45 minutes. Professional Photoshoots available -- $200.00 **I have listed this space as ""entire house/apt"" because it is a complete space with private entry that operates independently of the rest of the house. But please understand it is still physically connected to the Manor House and is not free standing. This is a large 1938 Manor House",and the rest of the house is rented by room and will no way impede upon privacy. Guest access This is a very complete space that does not depend on access to the rest of the house so guests would need to stay in this area. To see and explore the rest of the farm is possible but we just ask that guests be accommodated by one of us in order to do so. We have a lot of valuable livestock and crops so this is simply to ensure that nothing happens to our guests or to our farm! :-) Other things to note Just expect to be immersed within the farming culture of a working farm. We have chickens,ducks,horses,cows,an expansive garden,and a vineyard. We have a livestock guardian dog who lives with our poultry and ensures their nighttime safety. While we allow guests to bring dogs,"we expect dogs to be well behaved and to not come towards our livestock. If a dog becomes a problem we reserve the right to ask that it remains leashed. If you are traveling with your dog but need to leave it behind for a few hours we can provide dog crates or even dog sitting if need be. Just let us know how we can accommodate you and your furry companions!""",0.95,0.91,25,Strict,NULL,25,"Charming, Complete Suite on Stunning Working Farm",4.46,,"{check_in"": ""2025-01-13""","check_out: ""2025-01-18""","CLEANING_FEE: {""total"": 25","currency: ""USD""}","ACCOMMODATION: {""total"": 686","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 100","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 811","currency: ""USD""}}""",882a8c1027fffff,0,0,United States,Virginia,,22901,,0,https://a0.muscache.com/pictures/ed743f13-2706-450d-903e-64fad858de16.jpg,0,NULL,Alexia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605620,7815840,NULL,41147294,TRUE,93,NULL,Charlottesville,38.06128,-78.47558,Entire rental unit,664,1,1,1,365,4,2020-03-27 1:25:44,2024-12-19 19:47:29,pricelabs-scraping-01 -- 65675,"[Bathtub""",Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage: closet and dresser,TV,Sound system,"Exercise equipment: elliptical, free weights, yoga mat",Ping pong table,Pool table,Books and reading material,Children’s books and toys,Children’s dinnerware,Outlet covers,Board games,Babysitter recommendations,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Air fryer  oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Coffee,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Free parking on premises,Free street parking,Gym,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Self check-in,"Lockbox]""","This is a full private apartment located in the lower level of a house in the Greenbrier neighborhood in the heart of Charlottesville, VA. It is self contained and includes a bedroom, living room, utility room, game room with pool table, darts and ping pong, small gym, and full kitchen and bath. 5 minutes from downtown and UVA. Under 5 minutes to JPJ, Amphitheater, downtown mall and Scott Stadium. Perfect for hiking, brewery and wine tastings, weddings, vacations, graduation, etc.! The space The space is in a friendly quiet forested neighborhood in the city limits. Easy to get anywhere in town as it is located so close to main throughways, downtown, UVA and airport. Easy and cheap to Uber anywhere. The Rivanna trail system (which runs throughout the city and river), is in the neighborhood for easy trails and walking. The apartment is completely private and lockable, and has lots of space. There is a fenced in forested backyard with some chickens, with their eggs in your fridge. Parking is easy and private, and you have your own private entrance with keys. The apartment is the lower level of the house, I live above in the main house. There is a game room with a pool table/ping pong table and a dart board. Utility room is at your disposal with new large capacity washer and dryer. Also there is a workout area that includes a Precore elliptical. Guest access The entire apartment is yours. You may access the game room with pool table/dart board anytime as well as the utility room with washer/dryer/gym/ironing board. Access to back yard and driveway, with outdoor chairs. I provide a mess of snacks, coffee, tea, juice, bottled water and basic essentials for your pleasure upon check in. There is also a water filter on the tap for drinking, and plenty of refrigerator and freezer space with ice should you need it. Enjoy!",0.9,0.75,40,Moderate,NULL,20,"Cozy 1BD FULL PRIVATE APT in Charlottesville, VA",4.88,,"{check_in"": ""2025-01-24""","check_out: ""2025-01-29""","CLEANING_FEE: {""total"": 40","currency: ""USD""}","ACCOMMODATION: {""total"": 505","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 77","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 622","currency: ""USD""}}""",882a8c1037fffff,0,0,United States,Virginia,,22901,,0,https://a0.muscache.com/pictures/cf466ed7-89e4-4f1a-9728-b3cfe147b712.jpg,0,NULL,Peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605622,34684550,NULL,69529517,TRUE,80,NULL,Earlysville,38.12245,-78.46823,Private room in home,106,1,0,1,365,4 guests,2020-03-27 1:25:44,2024-12-21 16:39:01,pricelabs-scraping-01 -- 85419,"[Hair dryer""",Shampoo,Hot water,Essentials,Hangers,Iron,TV with standard cable,Air conditioning,Heating,Lock on bedroom door,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Coffee maker,Private entrance,Backyard,Free parking on premises,Private living room,Self check-in,"Keypad]""","Please note, there is a a queen bed and a full futon perfect for two adults and two children, but four adults would be tight Private entry & room in a home in a park like setting 1 mile from CHO airport, and Adventure Farms Winery. Winter mountain views, walkable neighborhood. 1.5 miles from Target, Harris Teeter and several restaurants. Check in time is flexible depending on whether or not we have previous guests. Check out time is usually noon but ask if longer needed The space The space is a moderate size room, private entrance and private bath located in partial basement. Guest access You will have a private entrance, private room that includes a queen bed, queen futon, table and chair. TV and coffee & tea service. During your stay Hosts live upstairs and are happy to interact as much 0r as little as you would like. Other things to note We do live close to the airport, so you will hear planes taking off and landing. They do not fly after 2200/ 10pm however. The room is very quiet though, And we have never had anyone complain about airplane noise as it is almost in audible in the room",,,0,Flexible,NULL,15,Dusty & Bobs place-private space close to airport,4.97,,"{check_in"": ""2025-01-07""","check_out: ""2025-01-12""","CLEANING_FEE: {""total"": 0","currency: ""USD""}","ACCOMMODATION: {""total"": 400","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 56","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 456","currency: ""USD""}}""",882a8c1311fffff,2,0,United States,Virginia,,22936,,1,https://a0.muscache.com/pictures/9407265d-a954-4fca-b9c5-dfe7e0f21dbb.jpg,0,NULL,Dusty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605623,41146727,NULL,115718681,FALSE,96,NULL,Charlottesville,38.06265,-78.48026,Entire guest suite,239,0,1,1,365,4,2020-03-27 1:25:44,2024-12-21 16:40:41,pricelabs-scraping-01 -- 85419,"[Hair dryer""",Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Extra pillows and blankets,Iron,Safe,Clothing storage: closet and dresser,TV,Books and reading material,Board games,Central air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Hot water kettle,Coffee maker,Wine glasses,Private entrance,Backyard,Hammock,Outdoor dining area,Free parking on premises,Free street parking,Self check-in,"Lockbox]""","Cozy, quiet, private entrance apartment, conveniently located minutes from downtown and UVA. It is equipped with a kitchenette in a large open plan studio. The space Freshly baked breakfast available as Family Ties & Pies bakery is on the premises. Wake up to the smell of our freshly baked quiche, scones or pies and enjoy our complimentary goodie.",0.85,0.75,20,Moderate,NULL,0,The Dragonfly-a quiet & charming apartment,4.8,,"{check_in"": ""2025-02-22""","check_out: ""2025-02-27""","CLEANING_FEE: {""total"": 0","currency: ""USD""}","ACCOMMODATION: {""total"": 505","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 71","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 576","currency: ""USD""}}""",882a8c1037fffff,2,0,United States,Virginia,,22901,,0,https://a0.muscache.com/pictures/f115d4de-7140-46f8-9a5f-86f0b1c31bab.jpg,0,NULL,Lynette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
